date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2022-01-03,15732.5,15832.7998046875,15644.08984375,15832.7998046875,15832.7998046875,4429960000,0.0,0.0
2022-01-04,15852.1396484375,15852.1396484375,15512.41015625,15622.7197265625,15622.7197265625,5131110000,0.0,0.0
2022-01-05,15547.16015625,15586.2998046875,15095.1796875,15100.169921875,15100.169921875,5031850000,0.0,0.0
2022-01-06,15024.150390625,15198.4501953125,14914.8701171875,15080.8603515625,15080.8603515625,4790820000,0.0,0.0
2022-01-07,15095.7197265625,15171.01953125,14877.6298828125,14935.900390625,14935.900390625,4238070000,0.0,0.0
2022-01-10,14751.7802734375,14953.849609375,14530.23046875,14942.830078125,14942.830078125,5317180000,0.0,0.0
2022-01-11,14919.259765625,15158.7099609375,14837.6298828125,15153.4501953125,15153.4501953125,4390710000,0.0,0.0
2022-01-12,15263.099609375,15319.0302734375,15117.2900390625,15188.3896484375,15188.3896484375,4338530000,0.0,0.0
2022-01-13,15245.0400390625,15259.7099609375,14782.240234375,14806.8095703125,14806.8095703125,4302020000,0.0,0.0
2022-01-14,14708.01953125,14897.6796875,14689.4296875,14893.75,14893.75,4374020000,0.0,0.0
2022-01-18,14681.830078125,14740.5400390625,14482.9404296875,14506.900390625,14506.900390625,5060790000,0.0,0.0
2022-01-19,14582.2197265625,14658.8896484375,14331.650390625,14340.259765625,14340.259765625,4665340000,0.0,0.0
2022-01-20,14462.849609375,14642.0302734375,14140.7802734375,14154.01953125,14154.01953125,5102050000,0.0,0.0
2022-01-21,14046.2197265625,14171.7197265625,13764.240234375,13768.919921875,13768.919921875,5870830000,0.0,0.0
2022-01-24,13481.5,13876.6103515625,13094.650390625,13855.1298828125,13855.1298828125,6998770000,0.0,0.0
2022-01-25,13610.8701171875,13781.6201171875,13414.1396484375,13539.2900390625,13539.2900390625,5019380000,0.0,0.0
2022-01-26,13871.76953125,14002.650390625,13392.1904296875,13542.1201171875,13542.1201171875,5771140000,0.0,0.0
2022-01-27,13710.990234375,13765.91015625,13322.66015625,13352.7802734375,13352.7802734375,5177380000,0.0,0.0
2022-01-28,13436.7099609375,13771.91015625,13236.5595703125,13770.5703125,13770.5703125,4971930000,0.0,0.0
2022-01-31,13812.1904296875,14242.900390625,13767.7099609375,14239.8798828125,14239.8798828125,5124940000,0.0,0.0
2022-02-01,14277.4296875,14358.6904296875,14070.76953125,14346.0,14346.0,4671850000,0.0,0.0
2022-02-02,14494.4697265625,14504.8203125,14264.650390625,14417.5498046875,14417.5498046875,4673140000,0.0,0.0
2022-02-03,14045.830078125,14207.8896484375,13851.740234375,13878.8203125,13878.8203125,4326300000,0.0,0.0
2022-02-04,13958.48046875,14222.759765625,13850.3896484375,14098.009765625,14098.009765625,4121340000,0.0,0.0
2022-02-07,14118.7900390625,14236.3095703125,13974.099609375,14015.669921875,14015.669921875,4268730000,0.0,0.0
2022-02-08,13984.4296875,14226.48046875,13934.7802734375,14194.4501953125,14194.4501953125,4293770000,0.0,0.0
2022-02-09,14368.16015625,14490.7197265625,14330.8701171875,14490.3701171875,14490.3701171875,4729730000,0.0,0.0
2022-02-10,14228.6796875,14509.5595703125,14118.2001953125,14185.6396484375,14185.6396484375,5212510000,0.0,0.0
2022-02-11,14213.6201171875,14246.7001953125,13733.16015625,13791.150390625,13791.150390625,5237320000,0.0,0.0
2022-02-14,13768.9697265625,13921.7099609375,13664.759765625,13790.919921875,13790.919921875,4347350000,0.0,0.0
2022-02-15,13997.1796875,14142.490234375,13976.2900390625,14139.759765625,14139.759765625,4416840000,0.0,0.0
2022-02-16,14038.919921875,14163.73046875,13931.990234375,14124.08984375,14124.08984375,4238560000,0.0,0.0
2022-02-17,14004.1904296875,14020.8203125,13704.7001953125,13716.7197265625,13716.7197265625,4278370000,0.0,0.0
2022-02-18,13735.400390625,13762.400390625,13465.5595703125,13548.0703125,13548.0703125,4501940000,0.0,0.0
2022-02-22,13424.3603515625,13618.7197265625,13249.650390625,13381.51953125,13381.51953125,4849170000,0.0,0.0
2022-02-23,13511.75,13533.7802734375,13032.169921875,13037.490234375,13037.490234375,4639330000,0.0,0.0
2022-02-24,12587.8798828125,13486.1103515625,12587.8798828125,13473.58984375,13473.58984375,6180200000,0.0,0.0
2022-02-25,13485.259765625,13696.8603515625,13358.2900390625,13694.6201171875,13694.6201171875,4628720000,0.0,0.0
2022-02-28,13570.830078125,13810.6396484375,13549.900390625,13751.400390625,13751.400390625,5928130000,0.0,0.0
2022-03-01,13716.7001953125,13777.0400390625,13441.3203125,13532.4599609375,13532.4599609375,6131350000,0.0,0.0
2022-03-02,13597.5302734375,13796.5498046875,13493.91015625,13752.01953125,13752.01953125,5246390000,0.0,0.0
2022-03-03,13837.58984375,13837.58984375,13472.6396484375,13537.9404296875,13537.9404296875,5092580000,0.0,0.0
2022-03-04,13455.23046875,13486.7099609375,13224.98046875,13313.4404296875,13313.4404296875,5343900000,0.0,0.0
2022-03-07,13328.3603515625,13353.2802734375,12828.01953125,12830.9599609375,12830.9599609375,6195370000,0.0,0.0
2022-03-08,12800.0400390625,13159.4404296875,12670.080078125,12795.5498046875,12795.5498046875,6683960000,0.0,0.0
2022-03-09,13113.7001953125,13301.16015625,13039.7900390625,13255.5498046875,13255.5498046875,5396550000,0.0,0.0
2022-03-10,13098.349609375,13163.5,12946.2802734375,13129.9599609375,13129.9599609375,5071250000,0.0,0.0
2022-03-11,13229.76953125,13239.349609375,12830.3701171875,12843.8095703125,12843.8095703125,5288210000,0.0,0.0
2022-03-14,12795.1201171875,12918.009765625,12555.349609375,12581.2197265625,12581.2197265625,5876710000,0.0,0.0
2022-03-15,12685.23046875,12973.8798828125,12616.58984375,12948.6201171875,12948.6201171875,5440100000,0.0,0.0
2022-03-16,13119.3701171875,13440.1201171875,12992.2001953125,13436.5498046875,13436.5498046875,6552210000,0.0,0.0
2022-03-17,13360.7197265625,13620.7998046875,13317.1396484375,13614.7802734375,13614.7802734375,5612090000,0.0,0.0
2022-03-18,13564.6298828125,13899.2802734375,13528.0595703125,13893.83984375,13893.83984375,8149290000,0.0,0.0
2022-03-21,13860.3896484375,13945.8095703125,13682.5498046875,13838.4599609375,13838.4599609375,5673940000,0.0,0.0
2022-03-22,13866.4296875,14141.0703125,13857.2900390625,14108.8203125,14108.8203125,5445100000,0.0,0.0
2022-03-23,13990.349609375,14152.1396484375,13921.650390625,13922.599609375,13922.599609375,5024230000,0.0,0.0
2022-03-24,14001.3203125,14193.5498046875,13897.2001953125,14191.83984375,14191.83984375,5149520000,0.0,0.0
2022-03-25,14194.7197265625,14218.759765625,14010.7900390625,14169.2998046875,14169.2998046875,5585100000,0.0,0.0
2022-03-28,14177.2099609375,14356.0,14101.33984375,14354.900390625,14354.900390625,5129500000,0.0,0.0
2022-03-29,14500.3896484375,14646.900390625,14419.400390625,14619.6396484375,14619.6396484375,6060890000,0.0,0.0
2022-03-30,14558.58984375,14609.25,14383.4501953125,14442.26953125,14442.26953125,5479200000,0.0,0.0
2022-03-31,14444.7802734375,14456.740234375,14217.7197265625,14220.51953125,14220.51953125,5453890000,0.0,0.0
2022-04-01,14269.5302734375,14306.9404296875,14131.8095703125,14261.5,14261.5,5002790000,0.0,0.0
2022-04-04,14304.349609375,14534.3798828125,14286.4501953125,14532.5498046875,14532.5498046875,4630100000,0.0,0.0
2022-04-05,14490.259765625,14500.2900390625,14169.1201171875,14204.169921875,14204.169921875,4727710000,0.0,0.0
2022-04-06,14002.580078125,14032.83984375,13788.900390625,13888.8203125,13888.8203125,5360420000,0.0,0.0
2022-04-07,13861.490234375,13978.25,13689.23046875,13897.2998046875,13897.2998046875,4856090000,0.0,0.0
