,united_states-monthly-growth_same
2022-01-01,0.07479872468289131
2022-02-01,0.07871063897739279
2022-03-01,0.0854245555484244
2022-04-01,0.08258629340882359
2022-05-01,0.08581511543676511
2022-06-01,0.0905975796478416
2022-07-01,0.08524814745625531
2022-08-01,0.08262692503116231
2022-09-01,0.0820166964383362
2022-10-01,0.07745427330804901
2022-11-01,0.0711032279419173
2022-12-01,0.06454401331410821
